,daily,daily_lower,daily_upper,ds,y,yhat_lower,yhat_upper
201,0.953564268,0.953564268,0.953564268,09/01/2016 9:00,524.5867998,148.2827188,1952.064212
202,3.39426668,3.39426668,3.39426668,09/01/2016 10:00,1867.328541,500.058016,7013.015262
203,7.800109498,7.800109498,7.800109498,09/01/2016 11:00,4291.240536,1089.040811,16132.96931
204,10.54663655,10.54663655,10.54663655,09/01/2016 12:00,5802.344683,1706.412862,20620.69459
205,11.81315606,11.81315606,11.81315606,09/01/2016 13:00,6499.244425,1749.44863,26762.48217
206,15.05782282,15.05782282,15.05782282,09/01/2016 14:00,8284.503703,2286.736884,33501.57689
207,19.41787295,19.41787295,19.41787295,09/01/2016 15:00,10683.49507,2821.365402,39275.46495
208,15.7371823,15.7371823,15.7371823,09/01/2016 16:00,8658.567746,2123.473984,30559.02014
209,5.766906697,5.766906697,5.766906697,09/01/2016 17:00,3172.995041,771.185046,12086.7822
210,1.220493962,1.220493962,1.220493962,09/01/2016 18:00,671.5362919,168.4080705,2529.682291
211,0.305739574,0.305739574,0.305739574,09/01/2016 19:00,168.225913,44.4685812,646.4699215
212,0.169067288,0.169067288,0.169067288,09/01/2016 20:00,93.02682719,25.25120988,362.7465746
213,0.210787712,0.210787712,0.210787712,09/01/2016 21:00,115.9848588,32.83416113,440.7425462
214,0.341564937,0.341564937,0.341564937,09/01/2016 22:00,187.9475528,44.76414352,713.0111397
215,0.39802779,0.39802779,0.39802779,09/01/2016 23:00,219.0202006,57.48616978,964.9705098
216,0.297424502,0.297424502,0.297424502,10/01/2016 0:00,163.6646575,47.36413698,630.7509898
217,0.208980286,0.208980286,0.208980286,10/01/2016 1:00,114.9981534,29.89444974,445.1775952
218,0.209676084,0.209676084,0.209676084,10/01/2016 2:00,115.3830007,28.82305312,426.6994976
219,0.298980377,0.298980377,0.298980377,10/01/2016 3:00,164.5292061,40.04473084,588.9576331
220,0.400166708,0.400166708,0.400166708,10/01/2016 4:00,220.2158918,60.24964412,856.0817065
221,0.349454434,0.349454434,0.349454434,10/01/2016 5:00,192.311671,52.13936997,816.0074592
222,0.223838116,0.223838116,0.223838116,10/01/2016 6:00,123.1846271,32.72820431,504.4783345
223,0.181463762,0.181463762,0.181463762,10/01/2016 7:00,99.86648528,23.05356138,403.6349563
224,0.299420658,0.299420658,0.299420658,10/01/2016 8:00,164.7855026,42.15798854,594.2477077
